Supercharger,Street Address,City,State,Zip,Country,Stalls,kW,GPS,Elev(m),Open Date,Latitude,Longitude,lat,lon,year,month
"Yichun - Runda International Shopping Center, China","B1, Runda International Shopping Center, No. 228, Huangpo Road, Yuanzhou District, Yichun",Yichun,Jiangxi,,China,3,250.0,"27.79273463, 114.3710223",108,2022-09-22,27.79273463,114.3710223,27.79273463,114.3710223,2022,9
"Taixing - Phoenix Cultural Plaza, China","B1 floor of Phoenix Plaza, No. 32, Daqing Middle Road, Taixing City, Taizhou City, Jiangsu",Taixing,Jiangsu,,China,3,250.0,"32.17364407, 120.0160826",6,2022-09-22,32.17364407,120.0160826,32.17364407,120.0160826,2022,9
"Nanjing - Jiangning Jingfeng Center, China","B3, Jiangning Jingfeng Center, No. 1698, Shuanglong Avenue, Jiangning District, Nanjing",Nanjing,Jiangsu,,China,6,250.0,"31.92965651, 118.820118",7,2022-09-22,31.92965651,118.820118,31.92965651,118.820118,2022,9
"Zhenjiang - Jurong Wuyue Plaza, China","Jurong Wuyue Plaza, Zhuangyuan New Village, Ninghang South Road, Jurong City, Zhenjiang",Zhejiang,Jiangsu,,China,3,250.0,"31.92597789, 119.171113",28,2022-09-22,31.92597789,119.171113,31.92597789,119.171113,2022,9
"Nantong - CBD Dayoujing Shopping Center, China","B2, Dayoujing, Zhongnan Nantong CBD, No. 12 Taoyuan Road, Chongchuan District, Nantong City, Jiangsu",Nantong,Jiangsu,,China,6,250.0,"31.96888176, 120.8923426",4,2022-09-22,31.96888176,120.8923426,31.96888176,120.8923426,2022,9
"Mianyang - Hi-Tech Tesla Center, China","Mianyang Hi-Tech Tesla Center, Baoshan Road, Fucheng District, Mianyang City, Sichuan",Mianyang,Sichuan,,China,3,250.0,"31.469313, 104.625846",481,2022-09-22,31.469313,104.625846,31.469313,104.625846,2022,9
"Shanghai - Weijing International Center, China","B2, Block C, Weijing Center, No. 2337, Gudai Road, Xinzhuang Town, Minhang District, Shanghai",Shanghai,Shanghai,,China,6,250.0,"31.12915582, 121.3618399",5,2022-09-22,31.12915582,121.3618399,31.12915582,121.3618399,2022,9
"Luoyang - Wangfujing Shopping Center, China","Wangfujing Shopping Center, No. 139, Nanchang Road, Jianxi District, Luoyang City, Henan",Luoyang,Henan,,China,3,250.0,"34.64521398, 112.4089206",149,2022-09-22,34.64521398,112.4089206,34.64521398,112.4089206,2022,9
"Hohhot - Central Crowne Plaza, China","Crowne Plaza, No. 216, Gongyuan South Road, Yuquan District, Hohhot, Inner Mongolia",Hohhot,Inner Mongolia,,China,3,250.0,"40.808542, 111.6716",1049,2022-09-22,40.808542,111.6716,40.808542,111.6716,2022,9
"Beijing - Huamao Tiandi East District, China","B2, Yard No. 7, Qinghe Ying South Street, Laiguang Ying, Chaoyang District, Beijing",Beijing,Beijing,,China,6,250.0,"40.052262, 116.439242",43,2022-09-22,40.052262,116.439242,40.052262,116.439242,2022,9
