Supercharger,Street Address,City,State,Zip,Country,Stalls,kW,GPS,Elev(m),Open Date,Latitude,Longitude,lat,lon,year,month
"Buellton, CA",555 McMurray Rd,Buellton,CA,93427,USA,10,150.0,"34.61456, -120.188387",114,2013-07-13,34.61456,-120.188387,34.61456,-120.188387,2013,7
"Corning, CA",950 Hwy 99,Corning,CA,96021,USA,6,150.0,"39.926454, -122.198393",87,2013-10-18,39.926454,-122.198393,39.926454,-122.198393,2013,10
"Barstow, CA",2812 Lenwood Rd,Barstow,CA,92311,USA,16,150.0,"34.849129, -117.085446",725,2012-11-19,34.849129,-117.085446,34.849129,-117.085446,2012,11
"Tifton, GA",1310 U.S. 82,Tifton,GA,31794,USA,8,150.0,"31.448847, -83.53221",92,2014-07-10,31.448847,-83.53221,31.448847,-83.53221,2014,7
"Roseville, CA",1151 Galleria Blvd,Roseville,CA,95678,USA,7,150.0,"38.771208, -121.266149",66,2014-04-29,38.771208,-121.266149,38.771208,-121.266149,2014,4
"Oxnard, CA",2751 Park View Ct,Oxnard,CA,93036,USA,20,150.0,"34.238654, -119.177398",24,2014-09-24,34.238654,-119.177398,34.238654,-119.177398,2014,9
"Daytona Beach - Gateway North Dr, FL",2330 Gateway N Dr,Daytona Beach,FL,32117,USA,12,250.0,"29.223265, -81.09972",7,2022-11-19,29.223265,-81.09972,29.223265,-81.09972,2022,11
"Port St. Lucie, FL",1701 NW Peacock Blvd,Port St. Lucie,FL,34986,USA,16,150.0,"27.313023, -80.406688",8,2013-07-25,27.313023,-80.406688,27.313023,-80.406688,2013,7
"Dallas - Park Ln, TX",8080 Park Ln,Dallas,TX,75231,USA,16,250.0,"32.867639, -96.767245",179,2021-11-17,32.867639,-96.767245,32.867639,-96.767245,2021,11
"Dangjin, South Korea","63, Songak-ro, Songak-eup, Dangjin-si, Chungcheongnam-do",Dangjin,Chungcheongnam,,South Korea,4,120.0,"36.909503, 126.69407466",42,2019-12-20,36.909503,126.69407466,36.909503,126.69407466,2019,12
"Bj鰎kliden, Sweden",Bj鰎klidenv鋑en 70,Bj鰎kliden,Lappland,981 93,Sweden,3,250.0,"68.407105, 18.676377",471,2021-12-16,68.407105,18.676377,68.407105,18.676377,2021,12
"El Centro, CA",3451 S Dogwood Rd,El Centro,CA,92243,USA,12,150.0,"32.760837, -115.532486",-8,2014-12-28,32.760837,-115.532486,32.760837,-115.532486,2014,12
"Rosemont, IL",5220 Fashion Outlets Way,Rosemont,IL,60018,USA,10,72.0,"41.975091, -87.866501",194,2018-11-06,41.975091,-87.866501,41.975091,-87.866501,2018,11
"Indio, CA",42100 Jackson St,Indio,CA,92203,USA,46,250.0,"33.741484, -116.215019",-3,2014-09-26,33.741484,-116.215019,33.741484,-116.215019,2014,9
"Savannah, GA",400 Airways Ave,Savannah,GA,31408,USA,8,125.0,"32.135507, -81.212767",6,2014-01-15,32.135507,-81.212767,32.135507,-81.212767,2014,1
"Holbrook, AZ",2096 Navajo Blvd,Holbrook,AZ,86025,USA,12,250.0,"34.922962, -110.145558",1596,2014-01-15,34.922962,-110.145558,34.922962,-110.145558,2014,1
"Mooresville, NC",125 Center Square Dr,Mooresville,NC,28117,USA,12,250.0,"35.587472, -80.873",260,2021-11-19,35.587472,-80.873,35.587472,-80.873,2021,11
"Shenzhen - Longhua Tesla Center, China","Longhua Auto City, No.1 Minkang Rd, Longhua District",Shenzhen,Guangdong,518131,China,10,120.0,"22.6189, 114.05482",88,2014-07-26,22.6189,114.05482,22.6189,114.05482,2014,7
"Buckeye, AZ",416 S Watson Rd,Buckeye,AZ,85326,USA,12,250.0,"33.443011, -112.556876",338,2014-03-20,33.443011,-112.556876,33.443011,-112.556876,2014,3
"Atascadero, CA",6950 El Camino Real,Atascadero,CA,93422,USA,8,125.0,"35.48656, -120.66633",262,2013-07-03,35.48656,-120.66633,35.48656,-120.66633,2013,7
"Gila Bend, AZ",826 W Pima St,Gila Bend,AZ,85337,USA,16,250.0,"32.943969, -112.733506",221,2014-05-17,32.943969,-112.733506,32.943969,-112.733506,2014,5
"Yuma, AZ",310 N Madison Ave,Yuma,AZ,85364,USA,12,250.0,"32.726686, -114.619093",43,2014-02-04,32.726686,-114.619093,32.726686,-114.619093,2014,2
"Greenwich - Northbound, CT",3000 Merritt Pkwy,Greenwich,CT,6830,USA,4,150.0,"41.041538, -73.671661",82,2014-02-12,41.041538,-73.671661,41.041538,-73.671661,2014,2
"Milford - Northbound, CT",1 CT Turnpike N,Milford,CT,6460,USA,2,120.0,"41.245814, -73.008988",19,2012-12-16,41.245814,-73.008988,41.245814,-73.008988,2012,12
"Port Orange, FL",5302 S Williamson Blvd,Port Orange,FL,32128,USA,6,150.0,"29.108566, -81.034569",7,2013-09-13,29.108566,-81.034569,29.108566,-81.034569,2013,9
"Guangzhou - Panyu Yingbin Road Tesla Center, China","Room 101-110, Building 1, Chuangqi I.PARK, No. 204, Yingbin Road, Panyu District, Guangzhou",Guangzhou,Guangdong,,China,6,250.0,"23.024584, 113.339562",0,2022-09-11,23.024584,113.339562,23.024584,113.339562,2022,9
"Wenling - Taizhou Tesla Service, China","China Zhejiang Trading Center, Maoyang Village, Wenqiao Town, Wenling City, Zhejiang",Wenling,Zhejiang,,China,3,250.0,"28.39823725, 121.3092138",3,2022-09-22,28.39823725,121.3092138,28.39823725,121.3092138,2022,9
"Worthington, MN",1290 Ryan's Rd,Worthington,MN,56187,USA,6,120.0,"43.63385, -95.595647",478,2013-12-11,43.63385,-95.595647,43.63385,-95.595647,2013,12
"Burlington, NC",1080 Piper Ln,Burlington,NC,27215,USA,8,120.0,"36.07079, -79.511211",197,2013-10-16,36.07079,-79.511211,36.07079,-79.511211,2013,10
"Quanzhou - Donghai Vanke, China","ITC Vanke Center, 188 Quannan Road, Bincheng Community, Donghai Street, Fengze District, Quanzhou",Quanzhou,Fujian,,China,3,250.0,"24.8631032, 118.6796071",3,2022-09-22,24.8631032,118.6796071,24.8631032,118.6796071,2022,9
"Spearfish, SD",3275 Old Belle Rd,Spearfish,SD,57783,USA,6,150.0,"44.520607, -103.890924",1077,2017-10-30,44.520607,-103.890924,44.520607,-103.890924,2017,10
"Santee, SC",114 Bradford Blvd,Santee,SC,29142,USA,8,150.0,"33.485858, -80.475763",39,2013-12-27,33.485858,-80.475763,33.485858,-80.475763,2013,12
"Mishawaka, IN",6501 Grape Rd,Mishawaka,IN,46545,USA,6,120.0,"41.7174, -86.1887",234,2013-12-11,41.7174,-86.1887,41.7174,-86.1887,2013,12
"Angola, IN",3855 Indiana Rte 127,Angola,IN,46703,USA,6,120.0,"41.699048, -85.000326",329,2013-12-09,41.699048,-85.000326,41.699048,-85.000326,2013,12
"Richmond, CA",2157 Meeker Ave,Richmond,CA,94804,USA,12,150.0,"37.919969, -122.348976",4,2019-09-16,37.919969,-122.348976,37.919969,-122.348976,2019,9
"Farmington, NM",4200 Sierra Vista Dr,Farmington,NM,87402,USA,4,120.0,"36.766371, -108.144047",1673,2014-01-10,36.766371,-108.144047,36.766371,-108.144047,2014,1
"Goodland, KS",2631 Enterprise Rd,Goodland,KS,67735,USA,6,150.0,"39.326253, -101.725171",1129,2014-06-13,39.326253,-101.725171,39.326253,-101.725171,2014,6
"Somerset, PA",1030 N Center Ave,Somerset,PA,15501,USA,6,150.0,"40.017383, -79.077117",641,2014-01-10,40.017383,-79.077117,40.017383,-79.077117,2014,1
"Ossining, NY",214 South Highland Ave,Ossining,NY,10510,USA,12,150.0,"41.144011, -73.861472",21,2019-06-14,41.144011,-73.861472,41.144011,-73.861472,2019,6
"San Marcos, TX",3939 Interstate 35,San Marcos,TX,78666,USA,12,150.0,"29.827692, -97.979677",202,2013-08-17,29.827692,-97.979677,29.827692,-97.979677,2013,8
"Columbus, TX",2535 Texas 71,Columbus,TX,78934,USA,6,120.0,"29.690062, -96.537725",57,2013-10-07,29.690062,-96.537725,29.690062,-96.537725,2013,10
"Mitchell, SD",1305 W Havens St,Mitchell,SD,57301,USA,6,120.0,"43.701129, -98.04449999999997",410,2013-12-18,43.701129,-98.04449999999997,43.701129,-98.04449999999997,2013,12
"San Luis Obispo - Higuera St, CA",3897 S Higuera St,San Luis Obispo,CA,93401,USA,20,250.0,"35.247841, -120.67193",38,2021-11-19,35.247841,-120.67193,35.247841,-120.67193,2021,11
"East Greenwich, RI",1000 Division St,East Greenwich,RI,2818,USA,8,150.0,"41.660517, -71.497242",73,2014-01-06,41.660517,-71.497242,41.660517,-71.497242,2014,1
"Maumee, OH",1391 Conant St,Maumee,OH,43537,USA,8,150.0,"41.57835, -83.66465",192,2014-01-13,41.57835,-83.66465,41.57835,-83.66465,2014,1
"Pleasant Prairie, WI",11211 120th Ave,Pleasant Prairie,WI,53158,USA,8,120.0,"42.518715, -87.950428",216,2014-02-13,42.518715,-87.950428,42.518715,-87.950428,2014,2
"Cranberry Township, PA",1308 Freedom Rd,Cranberry Township,PA,16066,USA,6,150.0,"40.683982, -80.10839",312,2014-04-04,40.683982,-80.10839,40.683982,-80.10839,2014,4
"Rapid City, SD",2200 N Maple Ave,Rapid City,SD,57701,USA,4,120.0,"44.105601, -103.212569",1006,2013-11-25,44.105601,-103.212569,44.105601,-103.212569,2013,11
"Lumberton, NC",5093 Fayetteville Rd,Lumberton,NC,28358,USA,8,150.0,"34.667629, -79.002343",40,2014-01-17,34.667629,-79.002343,34.667629,-79.002343,2014,1
"Yokohama, Japan","Kanagawa, Totsuka Kamiyabe-cho",Yokohama,,995-1,Japan,4,120.0,"35.4260146, 139.5375485",43,2014-09-09,35.4260146,139.5375485,35.4260146,139.5375485,2014,9
"Gallup, NM",111 Twin Buttes Rd,Gallup,NM,87301,USA,8,250.0,"35.505278, -108.828094",1970,2014-01-07,35.505278,-108.828094,35.505278,-108.828094,2014,1
"St. Augustine - World Commerce Pkwy, FL",200 World Commerce Pkwy,St. Augustine,FL,32092,USA,12,250.0,"29.983752, -81.464138",10,2022-12-20,29.983752,-81.464138,29.983752,-81.464138,2022,12
"London - North Greenwich, UK","Waterview Dr, Greenwich Peninsula",London,England,SE10 0TW,United Kingdom,12,150.0,"51.5023724, -0.0018343",7,2022-06-16,51.5023724,-0.0018343,51.5023724,-0.0018343,2022,6
"El Centro - Wake Ave, CA",330 Wake Ave,El Centro,CA,92243,USA,8,250.0,"32.7729, -115.5501",-11,2022-05-22,32.7729,-115.5501,32.7729,-115.5501,2022,5
"Pfaffenhofen, Germany",Siebenecken 1,Pfaffenhofen an der Ilm,Bavaria,85276,Germany,24,250.0,"48.518159, 11.562124",500,2020-01-25,48.518159,11.562124,48.518159,11.562124,2020,1
"Beaune, France","Mercure Beaune Centre 7 Ave, Charles de Gaulle",Beaune,Bourgogne-Franche-Comt�,21200,France,12,150.0,"47.017089, 4.836543",210,2015-12-21,47.017089,4.836543,47.017089,4.836543,2015,12
"Madison - East Towne Mall, WI",89 E Towne Mall,Madison,WI,53704,USA,3,120.0,"43.12669, -89.306896",267,2014-01-13,43.12669,-89.306896,43.12669,-89.306896,2014,1
"Truckee - Donner Pass, CA",11290 Donner Pass Rd,Truckee,CA,96161,USA,11,150.0,"39.327507, -120.207373",1967,2014-08-26,39.327507,-120.207373,39.327507,-120.207373,2014,8
"Shanghai - Amara Signature Hotel, China","B2, Amara Signature Hotel, No. 600 Changshou Road, Putuo District, Shanghai",Shanghai,Shanghai,,China,3,250.0,"31.23909894, 121.4348322",10,2023-05-22,31.23909894,121.4348322,31.23909894,121.4348322,2023,5
"Squamish, BC",40147 Glenalder Pl,Squamish,BC,V8B 0G2,Canada,10,120.0,"49.736901, -123.134573",35,2014-07-12,49.736901,-123.134573,49.736901,-123.134573,2014,7
"St. George, UT",1091 N Bluff St,St. George,UT,84770,USA,8,150.0,"37.12645, -113.601865",887,2014-08-14,37.12645,-113.601865,37.12645,-113.601865,2014,8
"Ritzville, WA",105 Galbreath Way,Ritzville,WA,99169,USA,4,150.0,"47.116294, -118.368328",570,2014-05-18,47.116294,-118.368328,47.116294,-118.368328,2014,5
"Richfield, UT",20 W 1400 N,Richfield,UT,84701,USA,4,150.0,"38.787942, -112.085316",1660,2014-04-04,38.787942,-112.085316,38.787942,-112.085316,2014,4
"Hays, KS",4101 Vine St,Hays,KS,67601,USA,6,150.0,"38.900543, -99.319142",626,2014-06-12,38.900543,-99.319142,38.900543,-99.319142,2014,6
"Green River, UT",1765 East Main St,Green River,UT,84525,USA,8,150.0,"38.993577, -110.140513",1240,2014-03-17,38.993577,-110.140513,38.993577,-110.140513,2014,3
"Mauston, WI",640 Mc Evoy St,Mauston,WI,53948,USA,6,125.0,"43.795551, -90.059358",265,2013-12-09,43.795551,-90.059358,43.795551,-90.059358,2013,12
"La Crosse, WI",2845 Midwest Dr,Onalaska,WI,54650,USA,6,120.0,"43.879042, -91.188428",219,2014-01-05,43.879042,-91.188428,43.879042,-91.188428,2014,1
"Eau Claire, WI",4601 Keystone Crossing,Eau Claire,WI,54701,USA,6,120.0,"44.77083, -91.43711",293,2014-01-30,44.77083,-91.43711,44.77083,-91.43711,2014,1
"Lusk, WY",730 S Main St,Lusk,WY,82225,USA,4,120.0,"42.75625, -104.45267",1529,2013-12-19,42.75625,-104.45267,42.75625,-104.45267,2013,12
"Winnipeg, MB",1485 Portage Ave,Winnipeg,MB,R3G 0W4,Canada,8,250.0,"49.881297, -97.198141",234,2019-12-12,49.881297,-97.198141,49.881297,-97.198141,2019,12
"Domb錽, Norway","Frichg錼den,Sentralplassen 1C, behind KIWI Mini Pris",Domb錽,Innlandet,2660,Norway,24,250.0,"62.073923, 9.125562",659,2013-08-30,62.073923,9.125562,62.073923,9.125562,2013,8
"Casa Grande, AZ",2453 E Florence Blvd,Casa Grande,AZ,85194,USA,6,150.0,"32.87888, -111.6817421",435,2014-09-30,32.87888,-111.6817421,32.87888,-111.6817421,2014,9
"Beijing - Yizhuang AK Valley, China","Harmony, No.18 Zhonghe St, Yizhuang, Daxing District",Beijing,Beijing,,China,12,120.0,"39.799729, 116.518017",31,2014-07-12,39.799729,116.518017,39.799729,116.518017,2014,7
"Limon, CO",2221 6th St,Limon,CO,80828,USA,14,250.0,"39.2688421, -103.708604",1652,2014-06-21,39.2688421,-103.708604,39.2688421,-103.708604,2014,6
"Arboga, Sweden",Burskapsv鋑en 1,Arboga,V鋝tmanland,732 95,Sweden,14,150.0,"59.426307, 15.827684",20,2014-07-06,59.426307,15.827684,59.426307,15.827684,2014,7
"Middelfart, Denmark",Karensmindevej 3,Middelfart,Syddanmark,5500,Denmark,12,150.0,"55.510639, 9.764306",26,2014-05-30,55.510639,9.764306,55.510639,9.764306,2014,5
"Vista, CA",401 Vista Village Dr,Vista,CA,92083,USA,20,250.0,"33.2008, -117.2455",98,2022-06-17,33.2008,-117.2455,33.2008,-117.2455,2022,6
"M鈉on, France",1 Boulevard du G閚閞al de Gaulle,Sanc�,Bourgogne-Franche-Comt�,71000,France,20,150.0,"46.346553, 4.850173",172,2014-07-11,46.346553,4.850173,46.346553,4.850173,2014,7
"Lier (north), Norway","E18 North by Max burger (4 in front, 4 more in back)",Lier,Viken,3400,Norway,8,150.0,"59.770833, 10.262139",17,2014-07-31,59.770833,10.262139,59.770833,10.262139,2014,7
"Lully, Switzerland","Restoroute 1470, Autogrill",Lully,Fribourg,1470,Switzerland,10,125.0,"46.832137, 6.859096",490,2013-12-13,46.832137,6.859096,46.832137,6.859096,2013,12
"Wilnsdorf, Germany",Elkersberg 2 (Autohof),Wilnsdorf,North Rhine-Westphalia,57234,Germany,8,130.0,"50.816873, 8.08576",436,2013-12-13,50.816873,8.08576,50.816873,8.08576,2013,12
"Regensburg-Ost, Germany",Junkersstra遝 3,Regensburg,Bavaria,93055,Germany,10,150.0,"48.994967, 12.150416",333,2014-06-18,48.994967,12.150416,48.994967,12.150416,2014,6
"Cordes Lakes, AZ",14925 Cordes Lakes Rd,Mayer,AZ,86333,USA,8,150.0,"34.327131, -112.118432",1150,2014-10-14,34.327131,-112.118432,34.327131,-112.118432,2014,10
"Billings, MT",1801 Majestic LN,Billings,MT,59102,USA,4,150.0,"45.733716, -108.604573",978,2014-07-23,45.733716,-108.604573,45.733716,-108.604573,2014,7
"Salina, KS",755 W Diamond Dr,Salina,KS,67401,USA,6,150.0,"38.877342, -97.618699",371,2014-07-04,38.877342,-97.618699,38.877342,-97.618699,2014,7
"Dayton, OH",9200 N Main St,Dayton,OH,45445,USA,8,150.0,"39.858702, -84.277027",257,2014-11-11,39.858702,-84.277027,39.858702,-84.277027,2014,11
"Chattanooga, TN",1001 Airport Rd,Chattanooga,TN,37421,USA,6,150.0,"35.038644, -85.19593",204,2014-09-04,35.038644,-85.19593,35.038644,-85.19593,2014,9
"South Hill, VA",1791 N Mecklenburg Ave,South Hill,VA,23970,USA,6,150.0,"36.748445, -78.103764",125,2014-08-07,36.748445,-78.103764,36.748445,-78.103764,2014,8
"DeFuniak Springs, FL",10th St and Baldwin Ave,DeFuniak Springs,FL,32435,USA,5,150.0,"30.720702, -86.116677",76,2015-01-09,30.720702,-86.116677,30.720702,-86.116677,2015,1
"Nanjing - Fengsheng Shanghui, China","Fengsheng Shanghui, No. 119 Software Rd, Yuhuatai District",Nanjing,Jiangsu,,China,6,120.0,"31.976229, 118.761432",32,2014-08-20,31.976229,118.761432,31.976229,118.761432,2014,8
"San Jose - Saratoga Ave, CA",1320 Saratoga Ave,San Jose,CA,95129,USA,12,250.0,"37.3006, -121.9812",62,2022-11-30,37.3006,-121.9812,37.3006,-121.9812,2022,11
"Hamburg - Stillhorn, Germany",Stillhorner Weg 40,Hamburg,Hamburg,21109,Germany,12,250.0,"53.479693, 10.024845",4,2022-01-25,53.479693,10.024845,53.479693,10.024845,2022,1
"New Boston, TX",1890 US Hwy 82,New Boston,TX,75570,USA,16,250.0,"33.469659, -94.454696",112,2022-12-22,33.469659,-94.454696,33.469659,-94.454696,2022,12
"Hangzhou - Huanglong Hotel, China","Dragon Hotel, No. 120 Shuguang Rd, West Lake District",Hangzhou,Zhejiang,,China,6,120.0,"30.266799, 120.14308",15,2014-08-20,30.266799,120.14308,30.266799,120.14308,2014,8
"Shanghai - International Automobile City, China",near Jiading Auto City,Shanghai,Shanghai,,China,6,120.0,"31.27969, 121.16766",5,2014-04-23,31.27969,121.16766,31.27969,121.16766,2014,4
"Shanghai - Lingang Powerlong Plaza, China","Floor B1, Underground Parking Lot, No. 128, Lane 3155, Hongyin Road, Pudong New Area",Shanghai,Shanghai,,China,18,250.0,"30.91288134, 121.823161",3,2021-01-22,30.91288134,121.823161,30.91288134,121.823161,2021,1
"Dongguan - Silver Holiday Hotel, China","Silver Holiday Hotel, Lan Kwai Fong Square, Changma Avenue, Changping Town",Dongguan,Guangdong,,China,12,250.0,"22.98561985, 114.0188207",9,2021-01-22,22.98561985,114.0188207,22.98561985,114.0188207,2021,1
"Xiamen - Haicang Zhongshan Waikou Apartment, China","Phase I of Zhongshan Resettlement House, Maqing Road, Haicang District",Xiamen,Fujian,,China,6,250.0,"24.49820445, 118.0319805",15,2021-01-22,24.49820445,118.0319805,24.49820445,118.0319805,2021,1
"Almaty, Kazakhstan",Al-Farabi Avenue (West),Almaty,Almaty,,Kazakhstan,4,120.0,"43.218336, 76.92797",892,2019-12-20,43.218336,76.92797,43.218336,76.92797,2019,12
"L鰀dek鰌inge, Sweden",Marknadsv鋑en 1,L鰀dek鰌inge,Sk錸e,246 42,Sweden,14,150.0,"55.766399, 12.990671",10,2014-07-29,55.766399,12.990671,55.766399,12.990671,2014,7
"Wenzhou - Ruian Wuyue Plaza, China","Underground Parking Lot, Ruian Wuyue Plaza, 1158 Ruixiang Avenue, Ruian City",Wenzhou,Zhejiang,,China,6,250.0,"27.78766225, 120.6702647",9,2021-01-22,27.78766225,120.6702647,27.78766225,120.6702647,2021,1
"Portland, OR",10280 NE Cascades Parkway,Portland,OR,97220,USA,16,250.0,"45.572631, -122.554017",7,2023-01-27,45.572631,-122.554017,45.572631,-122.554017,2023,1
"舖ot, Norway","by Heimat, Vinjevegen 159",Vinje,Vestfold og Telemark,3890,Norway,12,150.0,"59.5701306, 7.992551",457,2014-06-27,59.5701306,7.992551,59.5701306,7.992551,2014,6
"Sagamore Beach, MA",22 Meetinghouse Ln,Sagamore Beach,MA,2562,USA,8,150.0,"41.781242, -70.540271",26,2014-10-27,41.781242,-70.540271,41.781242,-70.540271,2014,10
"M黨ldorf, Germany",24 TOTAL Autohof,M黨ldorf,Bavaria,84453,Germany,4,125.0,"48.272557, 12.549892",405,2014-08-01,48.272557,12.549892,48.272557,12.549892,2014,8
"Lier (south), Norway",E18 South,Lier,Viken,3400,Norway,8,150.0,"59.766259, 10.257838",17,2013-08-13,59.766259,10.257838,59.766259,10.257838,2013,8
"Auxerre, France",Route national 6 - Lieu dit,Appoigny,Bourgogne-Franche-Comt�,89380,France,8,150.0,"47.85183, 3.542802",99,2014-07-04,47.85183,3.542802,47.85183,3.542802,2014,7
"Solli, Norway",Solliveien 276,Rolvs鴜,Viken,1667,Norway,10,150.0,"59.324292, 10.954448",3,2014-07-03,59.324292,10.954448,59.324292,10.954448,2014,7
"Tilburg (SC), Netherlands",Atlasstraat 7-9,Tilburg,North Brabant,5047 RG,Netherlands,2,120.0,"51.606331, 5.005621",5,2014-07-03,51.606331,5.005621,51.606331,5.005621,2014,7
"Kamen, Germany",4 Schattweg,Kamen,North Rhine-Westphalia,59174,Germany,12,150.0,"51.5701759, 7.6751678",73,2014-07-12,51.5701759,7.6751678,51.5701759,7.6751678,2014,7
"Uddevalla, Sweden",Herrestads Torp 310,Uddevalla,Bohusl鋘,451 98,Sweden,20,250.0,"58.3516862, 11.8116943",41,2014-07-09,58.3516862,11.8116943,58.3516862,11.8116943,2014,7
"Grays, UK","Lakeside Shopping Centre, W Thurrock Way",Thurrock,England,RM20 2ZG,United Kingdom,16,250.0,"51.4894519, 0.2866192",5,2022-01-25,51.4894519,0.2866192,51.4894519,0.2866192,2022,1
"Sandane, Norway",Firdavegen 2,Sandane,Vestland,6823,Norway,6,150.0,"61.7780226, 6.2131884",1,2014-07-06,61.7780226,6.2131884,61.7780226,6.2131884,2014,7
"Bozeman, MT",2023 Commerce Way,Bozeman,MT,59715,USA,4,150.0,"45.700078, -111.062569",1442,2014-10-23,45.700078,-111.062569,45.700078,-111.062569,2014,10
"Brandon, FL",2400 W Brandon Blvd,Brandon,FL,33511,USA,8,150.0,"27.9408309, -82.3236485",12,2014-09-25,27.9408309,-82.3236485,27.9408309,-82.3236485,2014,9
"Lake City, FL",2893 W US Highway 90,Lake City,FL,32055,USA,6,150.0,"30.181429, -82.679701",46,2014-08-20,30.181429,-82.679701,30.181429,-82.679701,2014,8
"Jung, Sweden",1 Jung Jungatorp,Kv鋘um,V鋝terg鰐land,535 92,Sweden,6,150.0,"58.328002, 13.132237",73,2014-09-23,58.328002,13.132237,58.328002,13.132237,2014,9
"Ljubljana, Slovenia",Pot za Brdom 4,Ljubljana,Central Slovenia,1000,Slovenia,8,125.0,"46.0520565, 14.45315",328,2014-07-26,46.0520565,14.45315,46.0520565,14.45315,2014,7
"Beijing - Zhongguancun Link, China","B2, Danling Street, Haidian District, Beijing",Beijing,Beijing,,China,3,120.0,"39.978964, 116.314287",53,2023-05-22,39.978964,116.314287,39.978964,116.314287,2023,5
"Charlotte, NC",2720 Mallard Creek Church RD,Charlotte,NC,28262,USA,8,150.0,"35.341213, -80.766023",232,2015-02-25,35.341213,-80.766023,35.341213,-80.766023,2015,2
"Shanghai - Songjiang Juniuxiu Park, China","Juniu Xiuchang Store, No. 688, Shihui Road, Songjiang District, Shanghai",Shanghai,Shanghai,,China,9,250.0,"31.04848235, 121.243959",4,2023-05-23,31.04848235,121.243959,31.04848235,121.243959,2023,5
"Chengdu - Yintai Center, China","Yintai Center, No.1199 North section of Tianfu Ave, Hi-Tech District",Chengdu,Sichuan,610016,China,6,120.0,"30.585632, 104.068655",498,2014-09-19,30.585632,104.068655,30.585632,104.068655,2014,9
"Hallandale Beach, FL",701 N Federal Hwy,Hallandale Beach,FL,33009,USA,8,250.0,"25.993528, -80.143183",2,2022-11-18,25.993528,-80.143183,25.993528,-80.143183,2022,11
"Chengdu - Yanlord Land Plaza, China","Yanlord Landmark, No.1 Renmin south Rd, Jinjiang District",Chengdu,Sichuan,610016,China,6,120.0,"30.651599, 104.067022",498,2014-09-19,30.651599,104.067022,30.651599,104.067022,2014,9
"Tokyo - Roppongi, Japan","6-3-3 Roppongi, Minato-ku",Tokyo,,6/10/2003,Japan,2,120.0,"35.65951, 139.72853",34,2014-09-09,35.65951,139.72853,35.65951,139.72853,2014,9
"Turkey Lake, FL",Turkey Lake Service Plaza,Turkey Lake,FL,32835,USA,6,150.0,"28.514874, -81.500214",1,2014-11-21,28.514874,-81.500214,28.514874,-81.500214,2014,11
"Baton Rouge, LA",3535 Perkins Rd,Baton Rouge,LA,70808,USA,6,150.0,"30.423892, -91.154637",10,2015-01-22,30.423892,-91.154637,30.423892,-91.154637,2015,1
"Phoenix - Agua Fria Fwy, AZ",2805 W Agua Fria Fwy,Phoenix,AZ,85027,USA,16,150.0,"33.667011, -112.120891",417,2018-03-21,33.667011,-112.120891,33.667011,-112.120891,2018,3
"Chongqing - Fortune Building, China","Fortune Plaza, No.16 Xingguang Ave, New North Zone",Chongqing,Chongqing,610016,China,10,120.0,"29.608009, 106.509449",238,2014-09-19,29.608009,106.509449,29.608009,106.509449,2014,9
"Soledad - Front St, CA",100 Front St,Soledad,CA,93960,USA,8,250.0,"36.429889, -121.334477",56,2021-11-21,36.429889,-121.334477,36.429889,-121.334477,2021,11
"Auburn, MA",385 Southbridge St,Auburn,MA,1501,USA,8,150.0,"42.203764, -71.832954",154,2014-12-29,42.203764,-71.832954,42.203764,-71.832954,2014,12
"Mosj鴈n, Norway","Elvegata, Fru Haugans Hotel",Mosj鴈n,Nordland,8651,Norway,6,150.0,"65.83483634, 13.191672563",0,2014-11-25,65.83483634,13.191672563,65.83483634,13.191672563,2014,11
"Ocala, FL",4414 SW College Rd,Ocala,FL,34474,USA,8,150.0,"29.140985, -82.19395",23,2014-11-03,29.140985,-82.19395,29.140985,-82.19395,2014,11
"Hope, BC",830-840 Fraser Ave,Hope,BC,V0X 1L0,Canada,10,150.0,"49.37829, -121.442822",44,2014-12-09,49.37829,-121.442822,49.37829,-121.442822,2014,12
"Topeka, KS",5930 Huntoon St,Topeka,KS,66614,USA,8,150.0,"39.044199, -95.76046",283,2014-10-17,39.044199,-95.76046,39.044199,-95.76046,2014,10
"Neuberg, Germany",R鰊tgenstra遝 1,Neuberg,Hesse,63526,Germany,6,130.0,"50.1817522, 9.0074826",139,2014-08-13,50.1817522,9.0074826,50.1817522,9.0074826,2014,8
"Nivelles-Sud, Belgium",Chauss閑 de Mons 22,Nivelles,Walloon Brabant,1400,Belgium,12,150.0,"50.5887, 4.30812",112,2014-07-31,50.5887,4.30812,50.5887,4.30812,2014,7
"Hangzhou - Euro America Center, China","Euro America Center, No. 18 Jiaogong Rd, West Lake District",Hangzhou,Zhejiang,310012,China,12,250.0,"30.273066, 120.137204",12,2014-08-20,30.273066,120.137204,30.273066,120.137204,2014,8
"Narbonne, France",130 Rue de L'H魌ellerie,Narbonne,Occitanie,11100,France,12,150.0,"43.167693, 2.986012",15,2014-08-08,43.167693,2.986012,43.167693,2.986012,2014,8
"Senlis, France",72 Avenue du General de Gaulle,Senlis,Hauts-de-France,60300,France,16,150.0,"49.208728, 2.6057883",83,2014-09-30,49.208728,2.6057883,49.208728,2.6057883,2014,9
"Dorno Ovest, Italy","Autostrada A7 Milano-Genova, Dorno Autogrill area",Dorno,Lombardy,27020,Italy,6,150.0,"45.147886, 8.990914",87,2014-09-12,45.147886,8.990914,45.147886,8.990914,2014,9
